Wordform_GS2	Lemma_GS2	POS_GS2	Gram_GS2	Status	NB
Кроме	кроме	PR		OFF	PARENTH_COMPLEX
того	то	SPRO	gen,n,sg	OFF	PARENTH_COMPLEX
,				OFF	
на	на	PR		ON	
первую	первый	ANUM	acc,f,sg	OFF	pro&num
половину	половина	S	acc,f,sg	ON	
2007				OFF	
года	год	S	gen,m,sg	ON	
дополнительно	дополнительно	ADV		ON	
запланировано	запланировать	V	n,nom,partcp,pass,past,sg	ON	
получение	получение	S	acc,n,sg	ON	
специализации	специализация	S	f,gen,sg	ON	
Advanced				OFF	
Routing				OFF	
and				OFF	
Switching				OFF	
и	и	CONJ		ON	
обновление	обновление	S	acc,n,sg	ON	
VPN				OFF	
Security				OFF	
Specialization				OFF	
до	до	PR		ON	
новой	новый	A	f,gen,sg	ON	
специализации	специализация	S	f,gen,sg	ON	
Advanced				OFF	
Security				OFF	
,				OFF	
что	что	SPRO	n,nom	OFF	pro&num
будет	быть	V	3p,pres,sg	ON	
соответствовать	соответствовать	V	inf	ON	
уровню	уровень	S	dat,m,sg	ON	
требований	требование	S	gen,n,pl	ON	
,				OFF	
предъявляемых	предъявлять	V	gen,partcp,pass,pl,pres	ON	#
к	к	PR		ON	
"				OFF	
Золотым	золотой	A	dat,pl	ON	
"				OFF	
партнерам	партнер	S	dat,m,pl	ON	
Cisco				OFF	
Systems.				OFF	
Полиция	полиция	S	f,nom,sg	ON	
сообщила	сообщить	V	f,past,sg	ON	
,				OFF	
что	что	CONJ		ON	
самоубийца	самоубийца	S	m,nom,sg	ON	
тяжело	тяжело	ADV		ON	
ранен	ранить	V	m,nom,partcp,pass,past,sg	ON	
,				OFF	
а	а	CONJ		ON	
его	его	APRO		OFF	pro&num
сосед	сосед	S	m,nom,sg	ON	
по	по	PR		ON	
этажу	этаж	S	dat,m,sg	ON	
погиб	погибнуть	V	m,past,sg	ON	
в	в	PR		ON	
огне	огонь	S	loc,m,sg	ON	
.				OFF	
Таким	такой	APRO	ins,m,sg	OFF	PARENTH_COMPLEX
образом	образ	S	ins,m,sg	OFF	PARENTH_COMPLEX
,				OFF	
угрозы	угроза	S	f,gen,sg	ON	
,				OFF	
нависшей	нависнуть	V	act,f,gen,partcp,past,sg	ON	
над	над	PR		ON	
знаменитым	знаменитый	A	ins,m,sg	ON	
дворцом	дворец	S	ins,m,sg	ON	
Цвингер	Цвингер	S	ins,m,sg	ON	
,				OFF	
в	в	PR		ON	
котором	который	APRO	loc,m,sg	OFF	pro&num
расположена	расположить	V	f,nom,partcp,pass,past,sg	ON	
Дрезденская	Дрезденский	A	f,nom,sg	ON	
картинная	картинный	A	f,nom,sg	ON	
галерея	галерея	S	f,nom,sg	ON	
,				OFF	
больше	больше	ADV		ON	
не	не	ADV		ON	
существует	существовать	V	3p,pres,sg	ON	
.				OFF	
На	на	PR		ON	
севере	север	S	loc,m,sg	ON	
сектора	сектор	S	gen,m,sg	ON	
Газа	Газа	S	gen,m,sg	ON	
проходит	проходить	V	3p,pres,sg	ON	
ожесточенная	ожесточенный	A	f,nom,sg	ON	
перестрелка	перестрелка	S	f,nom,sg	ON	
между	между	PR		ON	
израильскими	израильский	A	ins,pl	ON	
военнослужащими	военнослужащий	S	ins,m,pl	ON	
и	и	CONJ		ON	
палестинцами	палестинец	S	ins,m,pl	ON	
2002/08/11/				OFF	
На	на	PR		ON	
севере	север	S	loc,m,sg	ON	
сектора	сектор	S	gen,m,sg	ON	
Газа	Газа	S	gen,m,sg	ON	
,				OFF	
вблизи	вблизи	PR		ON	#
еврейского	еврейский	A	gen,n,sg	ON	
поселения	поселение	S	gen,n,sg	ON	
Дугид	Дугид	S	gen,n,sg	ON	
,				OFF	
в	в	PR		OFF	ADV_COMPLEX
настоящее	настоящий	A	acc,n,sg	OFF	ADV_COMPLEX
время	время	S	acc,n,sg	OFF	ADV_COMPLEX
проходит	проходить	V	3p,pres,sg	ON	
ожесточенная	ожесточенный	A	f,nom,sg	ON	
перестрелка	перестрелка	S	f,nom,sg	ON	
между	между	PR		ON	
израильскими	израильский	A	ins,pl	ON	
военнослужащими	военнослужащий	S	ins,m,pl	ON	
и	и	CONJ		ON	
палестинцами	палестинец	S	ins,m,pl	ON	
.				OFF	
Склады	склад	S	m,nom,pl	ON	
крупнейшей	крупный	A	f,gen,sg	ON	
в	в	PR		ON	
Благовещенске	Благовещенск	S	loc,m,sg	ON	
торговой	торговый	A	f,gen,sg	ON	
сети	сеть	S	f,gen,sg	ON	
"				OFF	
Домострой	Домострой	S	m,nom,sg	ON	
"				OFF	
почти	почти	ADV		ON	
полностью	полностью	ADV		ON	
сгорели	сгореть	V	past,pl	ON	
в	в	PR		ON	
субботу	суббота	S	f,acc,sg	ON	
.				OFF	
Президентом	президент	S	ins,m,sg	ON	
может	мочь	V	3p,pres,sg	ON	
быть	быть	V	inf	ON	
избран	избрать	V	m,partcp,pass,past,sg,nom	ON	
любой	любой	APRO	m,nom,sg	OFF	pro&num
гражданин	гражданин	S	m,nom,sg	ON	
Нагорно-Карабахской	Нагорно-Карабахский	A	f,gen,sg	ON	#
Республики	республика	S	f,gen,sg	ON	
,				OFF	
достигший	достичь	V	act,m,nom,partcp,past,sg	ON	
35				OFF	
лет	год	S	gen,m,pl	ON	
,				OFF	
обладающий	обладать	V	act,m,nom,partcp,pres,sg	ON	
избирательным	избирательный	A	ins,n,sg	ON	
правом	право	S	ins,n,sg	ON	
и	и	CONJ		ON	
постоянно	постоянно	ADV		ON	
или	или	CONJ		ON	
преимущественно	преимущественно	ADV		ON	
проживающий	проживать	V	act,m,nom,partcp,pres,sg	ON	
в	в	PR		ON	
НКР	НКР	S	loc,m,sg	ON	
в	в	PR		OFF	PR_COMPLEX
течение	течение	PR		OFF	PR_COMPLEX
последних	последний	A	gen,pl	ON	
10				OFF	
лет	год	S	gen,m,pl	ON	
.				OFF	
Для	для	PR		ON	
охраны	охрана	S	f,gen,sg	ON	
задействованы	задействовать	V	nom,partcp,pass,past,pl	ON	
офицеры	офицер	S	m,nom,pl	ON	
Национальной	национальный	A	f,gen,sg	ON	
гвардии	гвардия	S	f,gen,sg	ON	
,				OFF	
представители	представитель	S	m,nom,pl	ON	
служб	служба	S	f,gen,pl	ON	
безопасности	безопасность	S	f,gen,sg	ON	
и	и	CONJ		ON	
ВВС	ВВС	S	f,gen,pl	ON	
США	США	S	gen,m,pl	ON	
.				OFF	
Индекс	индекс	S	m,nom,sg	ON	
"				OFF	
Нового	новый	A	gen,m,sg	ON	
рынка	рынок	S	gen,m,sg	ON	
"				OFF	
сопротивлялся	сопротивляться	V	m,past,sg	ON	
больше	много	ADV		ON	
.				OFF	
Потоки	поток	S	m,nom,pl	ON	
дождя	дождь	S	gen,m,sg	ON	
обрушились	обрушиться	V	past,pl	ON	
в	в	PR		ON	
воскресенье	воскресенье	S	acc,n,sg	ON	
и	и	CONJ		ON	
на	на	PR		ON	
Берлин	Берлин	S	acc,m,sg	ON	
,				OFF	
с	с	PR		ON	
окружающей	окружающий	A	f,ins,sg	ON	#
его	он	SPRO	3p,acc,m,sg	OFF	pro&num
землей	земля	S	f,ins,sg	ON	#
Бранденбург	Бранденбург	S	m,nom,sg	ON	#
,				OFF	
где	где	ADV		OFF	pro&num
ситуация	ситуация	S	f,nom,sg	ON	
,				OFF	
конечно	конечно	ADV		ON	
,				OFF	
не	не	ADV		ON	
такая	такой	APRO	f,nom,sg	OFF	pro&num
сложная	сложный	A	f,nom,sg	ON	
,				OFF	
как	как	CONJ		ON	
в	в	PR		ON	
других	другой	APRO	loc,pl	OFF	pro&num
регионах	регион	S	loc,m,pl	ON	
,				OFF	
однако	однако	CONJ		ON	
в	в	PR		OFF	PR_COMPLEX
течение	течение	PR		OFF	PR_COMPLEX
сегодняшнего	сегодняшний	A	gen,m,sg	ON	
дня	день	S	gen,m,sg	ON	
и	и	CONJ		ON	
здесь	здесь	ADV		OFF	pro&num
зарегистрировано	зарегистрировать	V	n,nom,partcp,pass,past,sg	ON	
выпадение	выпадение	S	n,nom,sg	ON	
почти	почти	ADV		ON	
50				OFF	
литров	литр	S	gen,m,pl	ON	
осадков	осадки	S	gen,pl	ON	
на	на	PR		ON	
1				OFF	
кв	квадратный	A	acc,m,sg	OFF	abbrev
метр	метр	S	acc,m,sg	ON	
площади	площадь	S	f,gen,sg	ON	
.				OFF	
Точных	точный	A	gen,pl	ON	
данных	данные	S	gen,pl	ON	
об	об	PR		ON	
их	их	APRO		OFF	pro&num
местонахождении	местонахождение	S	loc,n,sg	ON	
,				OFF	
за	за	PR		OFF	PR_COMPLEX
исключением	исключение	S	ins,n,sg	OFF	PR_COMPLEX
обнаруженной	обнаружить	V	f,nom,partcp,pass,past,sg	ON	
в	в	PR		ON	
1996				OFF	
году	год	S	loc,m,sg	ON	
"				OFF	
				OFF	
Ловисы-Ульрики	Ловиса-Ульрика	S	f,gen,sg	ON	
"				OFF	
,				OFF	
не	не	ADV		ON	
было	быть	V	n,past,sg	ON	
.				OFF	
Для	для	PR		ON	
47				OFF	
гостей	гость	S	gen,m,pl	ON	
фестиваля	фестиваль	S	m,gen,sg	ON	
праздник	праздник	S	m,nom,sg	ON	
завершился	завершиться	V	m,past,sg	ON	
в	в	PR		ON	
вытрезвителях	вытрезвитель	S	loc,m,pl	ON	
.				OFF	
Полиция	полиция	S	f,nom,sg	ON	
считает	считать	V	3p,pres,sg	ON	
,				OFF	
что	что	CONJ		ON	
"				OFF	
холд-ап	холд-ап	S	acc,m,sg	ON	
"				OFF	
совершили	совершить	V	past,pl	ON	
"				OFF	
гастролеры	гастролер	S	m,nom,pl	ON	
"				OFF	
,				OFF	
несколько	несколько	ADV		OFF	pro&num
дней	день	S	gen,m,pl	ON	
наблюдавшие	наблюдать	V	act,nom,partcp,past,pl	ON	
за	за	PR		ON	
супермаркетом	супермаркет	S	ins,m,sg	ON	
и	и	CONJ		ON	
за	за	PR		ON	
передвижениями	передвижение	S	ins,n,pl	ON	
его	его	APRO		OFF	pro&num
директора	директор	S	gen,m,sg	ON	
.				OFF	
Этому	этот	APRO	dat,n,sg	OFF	pro&num
преобразованию	преобразование	S	dat,n,sg	ON	
также	также	CONJ		ON	
препятствует	препятствовать	V	3p,pres,sg	ON	
дефицит	дефицит	S	m,nom,sg	ON	
различных	различный	A	gen,pl	ON	
витаминов	витамин	S	gen,m,pl	ON	
и	и	CONJ		ON	
микроэлементов	микроэлемент	S	gen,m,pl	ON	
,				OFF	
необходимых	необходимый	A	gen,pl	ON	
для	для	PR		ON	
катализирующих	катализировать	V	act,gen,partcp,pl,pres	ON	
его	он	SPRO	3p,acc,m,sg	OFF	pro&num
ферментов	фермент	S	gen,m,pl	ON	
,				OFF	
включая	включая	PR		ON	
витамин	витамин	S	acc,m,sg	ON	
B3				OFF	
(				OFF	
никотиновая	никотиновый	A	f,nom,sg	ON	
кислота	кислота	S	f,nom,sg	ON	
)				OFF	
,				OFF	
B6				OFF	
,				OFF	
C				OFF	
,				OFF	
биотин	биотин	S	m,nom,sg	ON	
,				OFF	
цинк	цинк	S	m,nom,sg	ON	
и	и	CONJ		ON	
магний	магний	S	m,nom,sg	ON	
.				OFF	
Вызвать	вызвать	V	inf	ON	
ее	она	SPRO	3p,acc,f,sg	OFF	pro&num
можно	можно	ADV		ON	
с	с	PR		OFF	PR_COMPLEX
помощью	помощь	S	f,ins,sg	OFF	PR_COMPLEX
php3_ini.directive				OFF	
.				OFF	
Вот	вот	ADV		OFF	pro&num
пример	пример	S	m,nom,sg	ON	
двойной	двойной	A	f,gen,sg	ON	
суммы	сумма	S	f,gen,sg	ON	
из	из	PR		ON	
девяти	девять	NUM	gen	OFF	pro&num
членов	член	S	gen,m,pl	ON	
,				OFF	
управляемой	управлять	V	f,gen,partcp,pass,pres,sg	ON	#
двумя	два	NUM	ins,m	OFF	pro&num
индексами	индекс	S	ins,m,pl	ON	
j				OFF	
и	и	CONJ		ON	
к				OFF	
:				OFF	
Обычно	обычно	ADV		ON	
правление	правление	S	n,nom,sg	ON	
бывает	бывать	V	3p,pres,sg	ON	
из	из	PR		ON	
девяти	девять	NUM	gen	OFF	pro&num
членов	член	S	gen,m,pl	ON	
.				OFF	
-				OFF	
Я	я	SPRO	1p,nom,sg	OFF	pro&num
пришла	прийти	V	f,past,sg	ON	
за	за	PR		ON	
своими	свой	APRO	ins,pl	OFF	pro&num
документами	документ	S	ins,m,pl	ON	
,				OFF	
товарищ	товарищ	S	m,nom,sg	ON	
начальник	начальник	S	m,nom,sg	ON	
,				OFF	
-				OFF	
сказала	сказать	V	f,past,sg	ON	
Ефимова	Ефимова	S	f,nom,sg	ON	
,				OFF	
отстраняясь	отстраняться	V	ger,pres	ON	
от	от	PR		ON	
него	он	SPRO	3p,gen,m,sg	OFF	pro&num
.				OFF	
А	а	CONJ		ON	
кругом	кругом	ADV		ON	
--				OFF	
в	в	PR		ON	
пиццерии	пиццерия	S	f,loc,sg	ON	
--				OFF	
ели	есть	V	past,pl	ON	
и	и	CONJ		ON	
жрали	жрать	V	past,pl	ON	
толпы	толпа	S	f,nom,pl	ON	
людей	человек	S	gen,m,pl	ON	
--				OFF	
стоя	стоять	V	ger,pres	ON	
,				OFF	
сидя	сидеть	V	ger,pres	ON	
,				OFF	
посреди	посреди	PR		ON	
узкого	узкий	A	gen,m,sg	ON	
прохода	проход	S	gen,m,sg	ON	
.				OFF	
И	и	CONJ		ON	
наконец	наконец	ADV		ON	
,				OFF	
он	он	SPRO	3p,m,nom,sg	OFF	pro&num
жалел	жалеть	V	m,past,sg	ON	
свой	свой	APRO	acc,m,sg	OFF	pro&num
потерянный	потерянный	A	acc,m,sg	ON	
ум	ум	S	acc,m,sg	ON	
,				OFF	
который	который	APRO	m,nom,sg	OFF	pro&num
--				OFF	
после	после	PR		ON	
смерти	смерть	S	f,gen,sg	ON	
--				OFF	
уже	уже	ADV		ON	
не	не	ADV		ON	
сможет	смочь	V	3p,pres,sg	ON	
ни	ни	ADV		ON	#
о	о	PR		ON	
чем	что	SPRO	loc,n,sg	OFF	pro&num
думать	думать	V	inf	ON	
.				OFF	
Либо	либо	CONJ		ON	
об	об	PR		ON	
акулах	акула	S	f,loc,pl	ON	
,				OFF	
что	что	SPRO	n,nom,sg	OFF	pro&num
кому	кто	SPRO	dat,m,sg	OFF	pro&num
понятней	понятный	A	comp	ON	
.				OFF	
Вода	вода	S	f,nom,sg	ON	
в	в	PR		ON	
банке	банка	S	f,loc,sg	ON	
начала	начать	V	f,past,sg	ON	
нагреваться	нагреваться	V	inf	ON	
.				OFF	
Светлана	Светлана	S	f,nom,sg	ON	
Багатурия	Багатурия	S	f,nom,sg	ON	
подперла	подпереть	V	f,past,sg	ON	
кулачком	кулачок	S	ins,m,sg	ON	
подбородок	подбородок	S	acc,m,sg	ON	
и	и	CONJ		ON	
даже	даже	ADV		ON	
рот	рот	S	acc,m,sg	ON	
открыла	открыть	V	f,past,sg	ON	
от	от	PR		ON	
проникновения	проникновение	S	gen,n,sg	ON	
.				OFF	
А	а	CONJ		ON	#
что	что	SPRO	acc,n,sg	OFF	pro&num
дальше	дальше	ADV		ON	
?				OFF	
Но	но	CONJ		ON	
начлага	начлага	S	m,nom,sg	ON	
опять	опять	ADV		ON	
и	и	CONJ		ON	
опять	опять	ADV		ON	
не	не	ADV		ON	
мог	мочь	V	m,past,sg	ON	
.				OFF	
А	а	CONJ		ON	#
директор	директор	S	m,nom,sg	ON	
посмеивался	посмеиваться	V	m,past,sg	ON	
.				OFF	
Бывают	бывать	V	3p,pl,pres	ON	
же	же	ADV		ON	
ужасы	ужас	S	m,nom,pl	ON	
...				OFF	
У	у	PR		ON	
меня	я	SPRO	1p,gen,sg	OFF	pro&num
есть	быть	V	3p,pres,sg	ON	
такой	такой	APRO	m,nom,sg	OFF	pro&num
вопрос	вопрос	S	m,nom,sg	ON	
:				OFF	
платят	платить	V	3p,pl,pres	ON	
ли	ли	CONJ		ON	#
в	в	PR		ON	
июле-	июль	S	loc,m,sg	ON	
августе	август	S	loc,m,sg	ON	
стипендию	стипендия	S	acc,f,sg	ON	
?				OFF	
А	а	CONJ		ON	
это	это	ADV		OFF	#
ссылка	ссылка	S	f,nom,sg	ON	
на	на	PR		ON	
предварительные	предварительный	A	acc,pl	ON	
итоги	итог	S	acc,m,pl	ON	
по	по	PR		ON	
каждой	каждый	APRO	f,dat,sg	OFF	pro&num
позиции	позиция	S	f,dat,sg	ON	
,				OFF	
кто	кто	SPRO	m,nom,sg	OFF	pro&num
скока	скока	ADV		OFF	pro&num
голосов	голос	S	gen,m,pl	ON	
набрал	набрать	V	m,past,sg	ON	
к	к	PR		ON	
этому	этот	APRO	dat,m,sg	OFF	pro&num
моменту	момент	S	dat,m,sg	ON	
.				OFF	
http://www.nba.com/news/allstar_031211.html				OFF	
Кириленко	Кириленко	S	acc,sg	ON	
--				OFF	
в	в	PR		ON	
основу	основа	S	acc,f,sg	ON	
!				OFF	
Давайте-	давайте	V	1p,imper,pl	ON	
ка	ка	ADV		ON	
поразмыслим	поразмыслить	V	1p,pl,pres	ON	
.				OFF	
.				OFF	
.				OFF	
Ну	ну	ADV		ON	
я	я	SPRO	1p,nom,sg	OFF	pro&num
бы	бы	ADV		ON	
не	не	ADV		ON	
сказал	сказать	V	m,past,sg	ON	
что	что	CONJ		ON	
все	все	ADV		ON	
таки	таки	ADV		ON	
уровень	уровень	S	m,nom,sg	ON	
падает	падать	V	3p,pres,sg	ON	
....				OFF	
Как	как	ADV		OFF	pro&num
это	это	ADV		ON	
Петрович	Петрович	S	m,nom,sg	ON	#
собирается	собираться	V	3p,pres,sg	ON	
строить	строить	V	inf	ON	
игру	игра	S	acc,f,sg	ON	
команды	команда	S	f,gen,sg	ON	
вокруг	вокруг	PR		ON	
неиграющего	неиграющий	A	gen,m,sg	ON	
Ковенаги	Ковенаги	S	gen,m,sg	ON	
?				OFF	
Созданная	создать	V	f,nom,partcp,pass,past,sg	ON	
в	в	PR		ON	
процессе	процесс	S	loc,m,sg	ON	
диверсификации	диверсификация	S	f,gen,sg	ON	
бизнеса	бизнес	S	gen,m,sg	ON	
"				OFF	
ПроСофт	Прософт	S	m,nom,sg	ON	
"				OFF	
,				OFF	
эта	этот	APRO	f,nom,sg	OFF	pro&num
компания	компания	S	f,nom,sg	ON	
занимается	заниматься	V	3p,pres,sg	ON	
разработкой	разработка	S	f,ins,sg	ON	
и	и	CONJ		ON	
производством	производство	S	ins,n,sg	ON	
одноплатных	одноплатный	A	gen,pl	ON	
компьютеров	компьютер	S	gen,m,pl	ON	
и	и	CONJ		ON	
других	другой	APRO	gen,pl	OFF	pro&num
электронных	электронный	A	gen,pl	ON	
блоков	блок	S	gen,m,pl	ON	
,				OFF	
а	а	CONJ		OFF	CONJ_COMPLEX
также	также	CONJ		OFF	CONJ_COMPLEX
разработкой	разработка	S	f,ins,sg	ON	
и	и	CONJ		ON	
изготовлением	изготовление	S	ins,n,sg	ON	
по	по	PR		ON	
контракту	контракт	S	dat,m,sg	ON	
электронного	электронный	A	gen,n,sg	ON	
оборудования	оборудование	S	gen,n,sg	ON	
для	для	PR		ON	
систем	система	S	f,gen,pl	ON	
промышленной	промышленный	A	f,gen,sg	ON	
автоматизации	автоматизация	S	f,gen,sg	ON	
(				OFF	
доходы	доход	S	m,nom,pl	ON	
от	от	PR		ON	
этих	этот	APRO	gen,pl	OFF	pro&num
видов	вид	S	gen,m,pl	ON	
деятельности	деятельность	S	f,gen,sg	ON	
приблизительно	приблизительно	ADV		ON	
одинаковы	одинаковый	A	brev,nom,pl	ON	
)				OFF	
.				OFF	
По	по	PR		OFF	PR_COMPLEX
словам	слово	S	dat,n,pl	OFF	PR_COMPLEX
Девида	Девид	S	gen,m,sg	ON	
Ги	Ги	S	gen,m,sg	ON	
,				OFF	
вице-президента	вице-президент	S	gen,m,sg	ON	
HP				OFF	
Software				OFF	
по	по	PR		ON	
маркетингу	маркетинг	S	dat,m,sg	ON	
,				OFF	
новое	новый	A	n,nom,sg	ON	#
подразделение	подразделение	S	n,nom,sg	ON	
,				OFF	
получившее	получить	V	act,n,nom,partcp,past,sg	ON	
название	название	S	acc,n,sg	ON	
Business				OFF	
Information				OFF	
Optimization				OFF	
(				OFF	
BIO				OFF	
)				OFF	
,				OFF	
будет	быть	V	3p,pres,sg	ON	
состоять	состоять	V	inf	ON	
из	из	PR		ON	
двух	два	NUM	f,gen	OFF	pro&num
групп	группа	S	f,gen,pl	ON	
.				OFF	
Основной	основной	A	m,nom,sg	ON	
продукт	продукт	S	m,nom,sg	ON	
				OFF	
компании-разработчика	компания-разработчик	S	gen,m,sg	ON	
антивирусного	антивирусный	A	gen,n,sg	ON	#
ПО	ПО	S	gen,n,sg	ON	#
Eset				OFF	
-				OFF	
Eset				OFF	
NOD32				OFF	
закуплен	закупить	V	brev,m,nom,partcp,pass,past,sg	ON	
для	для	PR		ON	
парламента	парламент	S	gen,m,sg	ON	
республики	республика	S	f,gen,sg	ON	
Узбекистан	Узбекистан	S	acc,m,sg	ON	
(				OFF	
Олий	Олий	S	m,nom,sg	ON	
Мажлис	Мажлис	S	m,nom,sg	ON	
)				OFF	
.				OFF	
Еще	еще	ADV		ON	
один	один	APRO	m,nom,sg	OFF	pro&num
проект	проект	S	m,nom,sg	ON	
,				OFF	
который	который	APRO	m,nom,sg	OFF	pro&num
мне	я	SPRO	1p,dat,sg	OFF	pro&num
очень	очень	ADV		ON	
импонирует	импонировать	V	3p,pres,sg	ON	
-				OFF	
это	этот	APRO		OFF	#
наше	наш	APRO	n,nom,sg	OFF	pro&num
сотрудничество	сотрудничество	S	n,nom,sg	ON	
со	со	PR		ON	
Школой	школа	S	f,ins,sg	ON	
изящных	изящный	A	gen,pl	ON	
искусств	искусство	S	gen,n,pl	ON	
Фаберже	Фаберже	S	m,nom,sg	ON	
:				OFF	
для	для	PR		ON	
абитуриентов	абитуриент	S	gen,m,pl	ON	
,				OFF	
которые	который	APRO	acc,pl	OFF	pro&num
в	в	PR		OFF	ADV_COMPLEX
будущем	будущее	S	loc,n,sg	OFF	ADV_COMPLEX
создадут	создать	V	3p,pl,pres	ON	
свой	свой	APRO	acc,m,sg	OFF	pro&num
бизнес	бизнес	S	acc,m,sg	ON	
,				OFF	
став	стать	V	ger,past	ON	
ювелирами	ювелир	S	ins,m,pl	ON	
,				OFF	
дизайнерами	дизайнер	S	ins,m,pl	ON	
одежды	одежда	S	f,gen,sg	ON	
,				OFF	
художниками	художник	S	ins,m,pl	ON	
,				OFF	
мы	мы	SPRO	1p,nom,pl	OFF	pro&num
также	также	CONJ		ON	
основали	основать	V	past,pl	ON	
компьютерный	компьютерный	A	acc,m,sg	ON	
класс	класс	S	acc,m,sg	ON	
,				OFF	
где	где	ADV		OFF	pro&num
они	они	SPRO	3p,nom,pl	OFF	pro&num
изучают	изучать	V	3p,pl,pres	ON	
,				OFF	
чем	что	SPRO	ins,n,sg	OFF	pro&num
им	они	SPRO	3p,dat,pl	OFF	pro&num
могут	мочь	V	3p,pl,pres	ON	
быть	быть	V	inf	ON	
полезны	полезный	A	brev,nom,pl	ON	
информационные	информационный	A	nom,pl	ON	
технологии	технология	S	f,nom,pl	ON	
.				OFF	
АСУ	АСУ	S	nom	ON	
госзакупками	госзакупка	S	f,ins,pl	ON	
региона	регион	S	gen,m,sg	ON	
разработана	разработать	V	brev,f,nom,partcp,pass,past,sg	ON	
на	на	PR		OFF	PR_COMPLEX
основе	основа	S	f,loc,sg	OFF	PR_COMPLEX
электронного	электронный	A	gen,n,sg	ON	#
решения	решение	S	gen,n,sg	ON	#
компании	компания	S	f,gen,sg	ON	
"				OFF	
НОРБИТ	НОРБИТ	S	nom	ON	
"				OFF	
-				OFF	
"				OFF	
ГосЗаказ	ГосЗаказ	S	m,nom,sg	ON	
"				OFF	
v.3.0				OFF	
и	и	CONJ		ON	
функционально	функционально	ADV		ON	
охватывает	охватывать	V	3p,pres,sg	ON	
комплексное	комплексный	A	acc,n,sg	ON	
управление	управление	S	acc,n,sg	ON	
процессом	процесс	S	ins,m,sg	ON	
размещения	размещение	S	gen,n,sg	ON	
государственных	государственный	A	gen,pl	ON	
заказов	заказ	S	gen,m,pl	ON	
.				OFF	
Компания	компания	S	f,nom,sg	ON	
"				OFF	
АйТи	АйТи	S	nom	ON	
"				OFF	
по	по	PR		ON	
запросу	запрос	S	dat,m,sg	ON	
руководства	руководство	S	gen,n,sg	ON	
ВолГУ	ВолГУ	S	m,nom,sg	ON	
предоставила	предоставить	V	n,past,sg	ON	
университету	университет	S	dat,m,sg	ON	
полнофункциональную	полнофункциональный	A	acc,f,sg	ON	
версию	версия	S	acc,f,sg	ON	
системы	система	S	f,gen,sg	ON	
"				OFF	
				OFF	
БОСС-Референт	Босс-Референт	S	m,nom,sg	ON	
".				OFF	
ЭЦП	ЭЦП	S	nom	ON	
тормозит	тормозить	V	3p,pres,sg	ON	
ЭДО	ЭДО	S	acc	ON	
Резюмируя	резюмировать	V	ger,pres	ON	
обсуждения	обсуждение	S	acc,n,pl	ON	
в	в	PR		ON	
данной	данный	A	f,loc,sg	OFF	pro&num
секции	секция	S	f,loc,sg	ON	
,				OFF	
можно	можно	ADV		ON	
сказать	сказать	V	inf	ON	
,				OFF	
что	что	CONJ		ON	
новых	новый	A	gen,pl	ON	
проблем	проблема	S	f,gen,pl	ON	
за	за	PR		ON	
последний	последний	A	acc,m,sg	ON	
год	год	S	acc,m,sg	ON	
не	не	ADV		ON	
появилось	появиться	V	n,past,sg	ON	
,				OFF	
старые	старый	A	nom,pl	ON	
же	же	ADV		ON	
,				OFF	
например	например	ADV		ON	
,				OFF	
несовершенство	несовершенство	S	acc,n,sg	ON	
нормативной	нормативный	A	f,gen,sg	ON	
базы	база	S	f,gen,sg	ON	
,				OFF	
определяющей	определять	V	act,f,gen,partcp,pres,sg	ON	
функционирование	функционирование	S	acc,n,sg	ON	
удостоверяющих	удостоверять	V	act,gen,partcp,pl,pres	ON	
центров	центр	S	gen,m,pl	ON	
,				OFF	
решаются	решаться	V	3p,pl,pres	ON	
чрезвычайно	чрезвычайно	ADV		ON	
медленно	медленно	ADV		ON	
.				OFF	
Вечные	вечный	A	nom,pl	ON	
барьеры	барьер	S	m,nom,pl	ON	
Наиболее	наиболее	ADV		ON	
заметный	заметный	A	m,nom,sg	ON	
прогресс	прогресс	S	m,nom,sg	ON	
наблюдается	наблюдаться	V	3p,pres,sg	ON	
там	там	ADV		OFF	pro&num
,				OFF	
где	где	ADV		OFF	pro&num
бизнес	бизнес	S	m,nom,sg	ON	
может	мочь	V	3p,pres,sg	ON	
что-то	что-то	SPRO	acc,n	OFF	pro&num
сделать	сделать	V	inf	ON	
самостоятельно	самостоятельно	ADV		ON	
-				OFF	
эта	этот	APRO	f,nom,sg	OFF	pro&num
мысль	мысль	S	f,nom,sg	ON	
,				OFF	
мимоходом	мимоходом	ADV		ON	
прозвучавшая	прозвучать	V	act,f,nom,partcp,past,sg	ON	
в	в	PR		ON	
выступлении	выступление	S	loc,n,sg	ON	
одного	один	NUM	gen,m,sg	OFF	pro&num
из	из	PR		ON	
докладчиков	докладчик	S	gen,m,pl	ON	
,				OFF	
ясно	ясно	ADV		ON	
характеризует	характеризовать	V	3p,pres,sg	ON	
отношение	отношение	S	acc,n,sg	ON	
бизнеса	бизнес	S	gen,n,sg	ON	
к	к	PR		ON	
работе	работа	S	dat,f,sg	ON	
в	в	PR		ON	
госсекторе	госсектор	S	loc,m,sg	ON	
.				OFF	
В	в	PR		ON	
операции	операция	S	f,loc,sg	ON	
задействовано	задействовать	V	n,nom,partcp,pass,past,sg	ON	
80				OFF	
автомашин	автомашина	S	f,gen,pl	ON	
и	и	CONJ		ON	
